,created_on,property_type,lat,lon,price usd,b_id,c_b_id
5917,1/12/2016,apartment,-34.6036844,-58.381559100000004,215000.0,43.0,6
5918,4/7/2016,apartment,-34.603723200000005,-58.381593099999996,96000.0,43.0,4
5919,3/5/2016,apartment,-34.60371374,-58.38158089,168000.0,43.0,1
5920,12/23/2015,apartment,-34.60371374,-58.38158089,170000.0,43.0,0
5921,4/13/2016,apartment,-34.60371374,-58.38158089,320000.0,43.0,1
5922,1/8/2016,apartment,-34.60371374,-58.38158089,199000.0,43.0,1
5923,4/27/2016,apartment,-34.60371374,-58.38158089,145000.0,43.0,1
5924,3/28/2016,apartment,-34.60371374,-58.38158089,145000.0,43.0,15
5925,4/29/2016,PH,-34.6036844,-58.381559100000004,890000.0,43.0,41
5926,1/12/2016,house,-34.6036844,-58.381559100000004,180000.0,43.0,36
5927,12/1/2015,apartment,-34.60371374,-58.38158089,150000.0,43.0,0
5928,4/6/2016,PH,-34.60371374,-58.38158089,144900.0,43.0,11
5929,4/23/2016,apartment,-34.6036844,-58.381559100000004,810000.0,43.0,1
5930,2/19/2016,apartment,-34.60371374,-58.38158089,235000.0,43.0,0
5931,5/17/2016,apartment,-34.6036844,-58.381559100000004,105363.0,43.0,32
5932,4/22/2016,apartment,-34.60371374,-58.38158089,1200000.0,43.0,0
5933,1/30/2016,apartment,-34.6036844,-58.381559100000004,75000.0,43.0,12
5934,1/25/2016,PH,-34.60371374,-58.38158089,189000.0,43.0,11
5935,3/2/2016,apartment,-34.60371374,-58.38158089,165000.0,43.0,0
5936,2/4/2016,apartment,-34.60371374,-58.38158089,410000.0,43.0,48
5937,4/15/2016,apartment,-34.60371374,-58.38158089,136000.0,43.0,5
5938,3/21/2016,apartment,-34.60371374,-58.38158089,94900.0,43.0,28
5939,4/13/2016,apartment,-34.60371374,-58.38158089,230000.0,43.0,1
5940,3/10/2016,apartment,-34.60371374,-58.38158089,279000.0,43.0,1
5941,3/22/2016,apartment,-34.60371374,-58.38158089,235000.0,43.0,0
5942,4/13/2016,apartment,-34.60371374,-58.38158089,335000.0,43.0,1
5943,4/5/2016,house,-34.60371374,-58.38158089,279900.0,43.0,0
5944,3/29/2016,apartment,-34.6036844,-58.381559100000004,107000.0,43.0,32
5945,3/22/2016,apartment,-34.60371374,-58.38158089,99000.0,43.0,19
5946,3/9/2016,PH,-34.60371374,-58.38158089,99000.0,43.0,19
5947,4/15/2016,apartment,-34.60371374,-58.38158089,99000.0,43.0,19
5948,6/14/2016,apartment,-34.60371374,-58.38158089,330000.0,43.0,1
5949,4/13/2016,apartment,-34.60371374,-58.38158089,330000.0,43.0,1
5950,4/28/2016,store,-34.603684,-58.381558999999996,225000.0,43.0,32
5951,4/19/2016,apartment,-34.60371374,-58.38158089,83000.0,43.0,12
5952,4/19/2016,PH,-34.60371374,-58.38158089,150000.0,43.0,0
5953,4/19/2016,PH,-34.60371374,-58.38158089,150000.0,43.0,28
